folio,ordenpersona,ordenviaje,ordenetapa,modoetapa,cuadrascaminadasantes,minutoscaminadosantes,tipoasiento,ordenvehiculoviaje,situacionbicicleta,usohabitualbicicleta,usociclovia,motivonousociclovia,tiempoespera,vehiculosnouso,numerovehiculonouso,lineatransportepublico,pagotarifaviaje,montotarifaviaje,lugarbajovehiculo,lugarbajovehiculocomuna,zona_lugarbajovehiculo,sector_lugarbajovehiculo,dondeestacionovehiculo,lugarestacionovehiculo,montopagoestacionamiento,lugarestacionobicicleta
10031,5,4,1,Auto,0.0,1.0,Pasajero,2.0,No aplica,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,En el lugar de destino,En el lugar de residencia,No pago,Desconocido
10031,5,5,1,Auto,0.0,0.0,Pasajero,2.0,No aplica,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,No fue estacionado,Desconocido,Desconocido,Desconocido
10031,5,6,1,Auto,0.0,1.0,Pasajero,2.0,No aplica,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,En el lugar de destino,En el lugar de residencia,No pago,Desconocido
10032,1,1,1,Auto,0.0,2.0,Chofer,1.0,No aplica,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,En el lugar de destino,En el lugar de trabajo,No pago,Desconocido
10032,1,2,1,Auto,0.0,1.0,Chofer,1.0,No aplica,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,En el lugar de destino,En el lugar de residencia,No pago,Desconocido
10032,1,3,1,Auto,0.0,2.0,Chofer,1.0,No aplica,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,En el lugar de destino,En el lugar de trabajo,No pago,Desconocido
10032,1,4,1,Auto,0.0,1.0,Chofer,1.0,No aplica,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,En el lugar de destino,En el lugar de residencia,No pago,Desconocido
10041,4,1,1,Auto,0.0,1.0,Chofer,1.0,No aplica,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,En el lugar de destino,En el lugar de trabajo,No pago,Desconocido
10041,4,2,1,Auto,0.0,1.0,Chofer,1.0,No aplica,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,En el lugar de destino,En el lugar de residencia,No pago,Desconocido
10042,1,1,1,Auto,0.0,3.0,Chofer,1.0,No aplica,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,En el lugar de destino,En el lugar de trabajo,No pago,Desconocido
