folio,ordenvehiculo,tipovehiculo,ordenconductor,marcavehiculo,anovehiculo,combustiblevehiculo,situacionvehiculo,vehiculotrabajo,factorexpansiona
11301,1,Camioneta o vehiculo todo terreno,2,Hyundai,2011,Diesel,Propia (del hogar),No,"19,511"
11302,1,Auto,5,Mazda,2011,Gasolina,Propia (del hogar),No,"19,511"
11302,2,Auto,5,Hyundai,2009,Diesel,Propia (del hogar),No,"19,511"
11302,3,Auto,5,Renault,2015,Gasolina,Propia (del hogar),No,"19,511"
11311,1,Camioneta o vehiculo todo terreno,2,Nissan,1995,Gasolina,Propia (del hogar),No,"19,511"
11312,1,Auto,1,Chevrolet,2010,Gasolina,Prestada,No,"19,511"
11321,1,Camioneta o vehiculo todo terreno,1,Hyundai,2007,Diesel,Propia (del hogar),No,"19,511"
11332,1,Auto,3,Chevrolet,2013,Gasolina,Propia (del hogar),No,"13,272"
11351,1,Camioneta o vehiculo todo terreno,1,Nissan,2019,Gasolina,Propia (del hogar),No,"10,5"
11351,2,Auto,4,Chevrolet,2012,Gasolina,Propia (del hogar),No,"10,5"
11352,1,Auto,1,Renault,2017,Diesel,Propia (del hogar),No,"10,5"
11352,2,Camioneta o vehiculo todo terreno,1,Gmc,2022,Diesel,Propia (del hogar),No,"10,5"
11352,3,Camioneta o vehiculo todo terreno,2,Chevrolet,2015,Diesel,Propia (del hogar),No,"10,5"
11362,1,Auto,1,Hyundai,2015,Gasolina,Propia (del hogar),No,"11,122"
11362,2,Auto,2,MG,2022,Gasolina,Propia (del hogar),No,"11,122"
11362,3,Auto,3,Mitsubishi,2021,Gasolina,Propia (del hogar),No,"11,122"
11372,1,Auto,1,Hyundai,1993,Gasolina,Propia (del hogar),No,"11,122"
11372,2,Auto,2,Mitsubishi,1990,Diesel,Propia (del hogar),No,"11,122"
11382,1,Auto,1,Nissan,2018,Gasolina,Propia (del hogar),No,"11,122"
11392,1,Auto,2,Suzuki,2018,Gasolina,Propia (del hogar),No,"11,122"
11401,1,Auto,2,Hyundai,2015,Gasolina,Propia (del hogar),No,"11,122"
11402,1,Auto,1,Chevrolet,2018,Gasolina,Propia (del hogar),No,"11,122"
11411,1,Camion,1,Hyundai,1990,Diesel,Propia (del hogar),Si,"11,122"
11432,1,Auto,2,Daewoo,2003,Gasolina,Propia (del hogar),No,"11,122"
11441,1,Auto,2,Chevrolet,2012,Gasolina,Propia (del hogar),No,"10,476"
11441,2,Auto,1,Mazda,2011,Gasolina,Propia (del hogar),No,"10,476"
